round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.01,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.02,NoPhase,NoPhase,,,ID:door_1|,0
0,close_finished_door_1,0.03,NoPhase,NoPhase,,,ID:door_1|,0
0,close_start_door_2,0.05,NoPhase,NoPhase,,,ID:door_2|,0
0,close_finished_door_2,0.26,NoPhase,NoPhase,,,ID:door_2|,0
0,lever_retracted_food,0.45,NoPhase,NoPhase,,,ID:food|,0
0,lever_retracted_lever_1,0.46,NoPhase,NoPhase,,,ID:lever_1|,0
0,lever_retracted_lever_2,0.46,NoPhase,NoPhase,,,ID:lever_2|,0
1,new_round,0.76,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.77,NoPhase,NoPhase,,,ID:round_LED|,1
1,tone_start_round_start,0.82,levers_out,levers_out,,,ID:speaker|,1
1,output_deactivated,1.27,levers_out,levers_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.83,levers_out,levers_out,,,ID:speaker|,1
1,lever_extended_lever_1,2.57,levers_out,levers_out,,,ID:lever_1|,1
1,lever_extended_lever_2,2.57,levers_out,levers_out,,,ID:lever_2|,1
1,,3.45,levers_out,levers_out,1.68,,n_presses:1|,1
1,presses_reached_lever_1,3.45,levers_out,levers_out,1.68,,n_presses:1|,1
1,lever_press,3.45,levers_out,levers_out,,,ID:event_LED|,1
1,output_activated,3.46,levers_out,levers_out,,,ID:event_LED|,1
1,tone_start_door_2_open,3.5,levers_out,levers_out,,,ID:speaker|,1
1,output_deactivated,3.81,levers_out,levers_out,,,ID:event_LED|,1
1,lever_retracted_lever_2,3.9,levers_out,levers_out,,,ID:lever_2|,1
1,lever_retracted_lever_1,4.1,levers_out,levers_out,,,ID:lever_1|,1
1,tone_stop_door_2_open,4.5,levers_out,levers_out,,,ID:speaker|,1
1,open_start_door_2,6.47,reward_phase,reward_phase,,,ID:door_2|,1
1,open_finished_door_2,8.07,reward_phase,reward_phase,,,ID:door_2|,1
1,close_start_door_2,51.47,reward_phase,reward_phase,,,ID:door_2|,1
1,close_finished_door_2,53.03,reward_phase,reward_phase,,,ID:door_2|,1
2,new_round,111.26,levers_out,levers_out,,,ID:round_LED|,2
2,output_activated,111.26,levers_out,levers_out,,,ID:round_LED|,2
2,tone_start_round_start,111.28,levers_out,levers_out,,,ID:speaker|,2
2,output_deactivated,111.76,levers_out,levers_out,,,ID:round_LED|,2
2,tone_stop_round_start,112.29,levers_out,levers_out,,,ID:speaker|,2
2,lever_extended_lever_1,113.03,levers_out,levers_out,,,ID:lever_1|,2
2,lever_extended_lever_2,113.03,levers_out,levers_out,,,ID:lever_2|,2
2,,116.7,levers_out,levers_out,4.43,,n_presses:1|,2
2,presses_reached_lever_2,116.7,levers_out,levers_out,4.43,,n_presses:1|,2
2,lever_press,116.7,levers_out,levers_out,,,ID:event_LED|,2
2,output_activated,116.7,levers_out,levers_out,,,ID:event_LED|,2
2,tone_start_door_1_open,116.73,levers_out,levers_out,,,ID:speaker|,2
2,output_deactivated,117.06,levers_out,levers_out,,,ID:event_LED|,2
2,lever_retracted_lever_1,117.15,levers_out,levers_out,,,ID:lever_1|,2
2,lever_retracted_lever_2,117.4,levers_out,levers_out,,,ID:lever_2|,2
2,tone_stop_door_1_open,117.74,levers_out,levers_out,,,ID:speaker|,2
2,open_start_door_1,119.71,reward_phase,reward_phase,,,ID:door_1|,2
2,open_finished_door_1,121.31,reward_phase,reward_phase,,,ID:door_1|,2
2,close_start_door_1,164.71,reward_phase,reward_phase,,,ID:door_1|,2
2,close_finished_door_1,166.57,reward_phase,reward_phase,,,ID:door_1|,2
